Gene Symbol /Region Name,HGNC/Dosage ID,GRCh37,GRCh38,HI Score,TS Score,LastEvaluated Date
ITSN1,HGNC:6183,21:35014807-35272165,21:33642501-33899861,LittleEvidence,NoEvidence,10/8/2024
KATNAL2,HGNC:25387,18:44497557-44628614,18:46917594-47102243,LittleEvidence,NoEvidence,11/28/2018
KCNA2,HGNC:6220,1:111136202-111174062,1:110593580-110631440,LittleEvidence,NoEvidence,5/28/2025
KCNC1,HGNC:6233,11:17756328-17804604,11:17734781-17783057,LittleEvidence,NoEvidence,3/31/2025
KCNQ1OT1,HGNC:6295,11:2629558-2721228,11:2608328-2699994,LittleEvidence,NoEvidence,12/6/2023
KDM5B,HGNC:18039,1:202693623-202778598,1:202724495-202808421,LittleEvidence,NoEvidence,1/4/2018
LEO1,HGNC:30401,15:52230222-52263975,15:51938025-51971778,LittleEvidence,NoEvidence,3/14/2025
LHX4,HGNC:21734,1:180199399-180248119,1:180228375-180278984,LittleEvidence,NoEvidence,4/25/2022
LMTK3,HGNC:19295,19:48988528-49016446,19:48485271-48513680,LittleEvidence,NoEvidence,7/25/2018
LRP5,HGNC:6697,11:68080059-68216743,11:68298412-68449275,LittleEvidence,NoEvidence,4/9/2024
MAGEL2,HGNC:6814,15:23888696-23893014,15:23643549-23647867,LittleEvidence,NoEvidence,10/22/2025
MAOA,HGNC:6833,X:43514254-43606064,X:43655006-43746817,LittleEvidence,NoEvidence,9/26/2012
MAP2K2,HGNC:6842,19:4090319-4124119,19:4090321-4124122,LittleEvidence,NoEvidence,5/27/2015
MEG3,HGNC:14575,14:101292445-101327363,14:100826108-100861026,LittleEvidence,NoEvidence,9/12/2024
MSX2,HGNC:7392,5:174151585-174157899,5:174724582-174730896,LittleEvidence,NoEvidence,6/28/2023
MTAP,HGNC:7413,9:21802635-21867080,9:21802636-21941115,LittleEvidence,NoEvidence,10/12/2022
MYH10,HGNC:7568,17:8377530-8534043,17:8474212-8630725,LittleEvidence,NoEvidence,1/23/2019
MYH9,HGNC:7579,22:36677326-36784012,22:36281280-36387967,LittleEvidence,NoEvidence,9/4/2024
MYLK,HGNC:7590,3:123328896-123603179,3:123610049-123884332,LittleEvidence,NoEvidence,1/14/2016
NAA10,HGNC:18704,X:153194678-153200490,X:153929225-153935037,LittleEvidence,NoEvidence,8/9/2022
NAF1,HGNC:25126,4:164047860-164088042,4:163103929-163166890,LittleEvidence,NoEvidence,8/20/2024
NEDD9,HGNC:7733,6:11183531-11382581,6:11183298-11382348,LittleEvidence,NoEvidence,2/27/2019
NODAL,HGNC:7865,10:72191692-72207707,10:70431936-70447951,LittleEvidence,NoEvidence,8/8/2013
OSBPL2,HGNC:15761,20:60813577-60871239,20:62238521-62296183,LittleEvidence,NoEvidence,12/2/2025
PAK2,HGNC:8591,3:196466728-196559518,3:196739857-196832647,LittleEvidence,LittleEvidence,12/27/2011
PAX5,HGNC:8619,9:36833266-37034265,9:36833269-37034268,LittleEvidence,NoEvidence,2/12/2025
PAX8,HGNC:8622,2:113973574-114036498,2:113215997-113278921,LittleEvidence,NoEvidence,11/9/2021
PGK1,HGNC:8896,X:77359745-77384792,X:78104248-78129295,LittleEvidence,NoEvidence,9/10/2024
PHF2,HGNC:8920,9:96338866-96441869,9:93576584-93679587,LittleEvidence,NoEvidence,2/27/2019
PHF3,HGNC:8921,6:64345707-64435904,6:63635802-63726011,LittleEvidence,NoEvidence,2/27/2019
PIGA,HGNC:8957,X:15337573-15353676,X:15319451-15335554,LittleEvidence,NoEvidence,4/10/2025
PLN,HGNC:9080,6:118869459-118882879,6:118548296-118561716,LittleEvidence,NoEvidence,8/29/2025
POLD1,HGNC:9175,19:50887580-50921275,19:50384323-50418018,LittleEvidence,NoEvidence,6/5/2020
POLE,HGNC:9177,12:133200348-133263928,12:132623762-132687342,LittleEvidence,NoEvidence,12/16/2019
PPP2R5D,HGNC:9312,6:42952308-42980080,6:42984570-43012342,LittleEvidence,NoEvidence,5/26/2021
RAD50,HGNC:9816,5:131892669-131982041,5:132556977-132646349,LittleEvidence,NoEvidence,3/12/2025
RAD51B,HGNC:9822,14:68286496-69149813,14:67819779-68683096,LittleEvidence,NoEvidence,6/19/2025
RALGAPB,HGNC:29221,20:37101486-37207501,20:38472843-38578858,LittleEvidence,NoEvidence,2/27/2019
RB1CC1,HGNC:15574,8:53535018-53626995,8:52622458-52714435,LittleEvidence,NoEvidence,7/25/2018
RIMS1,HGNC:17282,6:72596253-73112847,6:71886550-72403145,LittleEvidence,NoEvidence,1/24/2018
RPH3A,HGNC:17056,12:113013040-113336686,12:112575236-112898881,LittleEvidence,NoEvidence,7/25/2018
RPL15,HGNC:10306,3:23958036-23966122,3:23916545-23924631,LittleEvidence,NoEvidence,7/16/2014
SALL1,HGNC:10524,16:51169893-51185181,16:51135982-51152334,LittleEvidence,NoEvidence,1/27/2021
SCN8A,HGNC:10596,12:51985017-52206648,12:51591233-51812864,LittleEvidence,NoEvidence,2/14/2023
SEMA3A,HGNC:10723,7:83585093-83824105,7:83955777-84492725,LittleEvidence,NoEvidence,8/7/2017
SH2B1,HGNC:30417,16:28857927-28885526,16:28846606-28874205,LittleEvidence,NoEvidence,7/13/2021
SHANK1,HGNC:15474,19:51162512-51223059,19:50659255-50719802,LittleEvidence,NoEvidence,3/11/2025
SLC16A12,HGNC:23094,10:91190056-91295351,10:89430299-89556704,LittleEvidence,NoEvidence,12/21/2011
SLC17A8,HGNC:20151,12:100750852-100815833,12:100357074-100422055,LittleEvidence,NoEvidence,2/8/2022
SLC1A2,HGNC:10940,11:35272752-35441605,11:35251205-35420507,LittleEvidence,NoEvidence,9/11/2025
SLC4A10,HGNC:13811,2:162480926-162841780,2:161624416-161985270,LittleEvidence,NoEvidence,4/11/2012
SMC3,HGNC:2468,10:112327453-112365806,10:110567695-110606048,LittleEvidence,NoEvidence,4/8/2025
SNURF,HGNC:11171,15:25200134-25223870,15:24954987-24978723,LittleEvidence,NoEvidence,3/28/2023
SRSF11,HGNC:10782,1:70671379-70718735,1:70205696-70253052,LittleEvidence,NoEvidence,4/8/2025
SYP,HGNC:11506,X:49044268-49056652,X:49187815-49200193,LittleEvidence,NoEvidence,9/26/2018
TAB2,HGNC:17075,6:149539062-149732743,6:149217926-149411607,LittleEvidence,NoEvidence,5/27/2020
TAF13,HGNC:11546,1:109606762-109618625,1:109064140-109076003,LittleEvidence,NoEvidence,5/22/2019
TBX1,HGNC:11592,22:19744226-19771116,22:19756703-19783593,LittleEvidence,NoEvidence,6/11/2024
TBX2,HGNC:11597,17:59477204-59486827,17:61399843-61409466,LittleEvidence,NoEvidence,8/8/2018
TCF7L2,HGNC:11641,10:114710006-114927437,10:112950247-113167678,LittleEvidence,NoEvidence,3/27/2019
TERT,HGNC:11730,5:1253282-1295183,5:1253167-1295068,LittleEvidence,NoEvidence,6/24/2025
TMLHE,HGNC:18308,X:154718672-154842613,X:155489011-155612952,LittleEvidence,NoEvidence,8/1/2013
TNNI3,HGNC:11947,19:55663135-55669100,19:55151767-55157732,LittleEvidence,NoEvidence,5/25/2023
TP63,HGNC:15979,3:189314535-189615065,3:189596746-189897276,LittleEvidence,NoEvidence,5/10/2023
TPM2,HGNC:12011,9:35681990-35690053,9:35681993-35690056,LittleEvidence,NoEvidence,11/18/2025
TRRAP,HGNC:12347,7:98476155-98610864,7:98878532-99013241,LittleEvidence,NoEvidence,4/24/2019
TSPAN7,HGNC:11854,X:38420795-38548172,X:38561542-38688918,LittleEvidence,NoEvidence,6/22/2022
TUBB1,HGNC:16257,20:57594484-57601709,20:59016438-59026654,LittleEvidence,NoEvidence,9/24/2025
UBN2,HGNC:21931,7:138915983-138992982,7:139231237-139330428,LittleEvidence,NoEvidence,7/24/2024
VEGFA,HGNC:12680,6:43737946-43754224,6:43770211-43786487,LittleEvidence,NoEvidence,8/23/2023
YAP1,HGNC:16262,11:101981178-102104155,11:102110447-102233424,LittleEvidence,NoEvidence,11/13/2014
YTHDC1,HGNC:30626,4:69176105-69215808,4:68310387-68350090,LittleEvidence,NoEvidence,4/24/2019
YTHDF3,HGNC:26465,8:64081112-64125346,8:63168553-63212788,LittleEvidence,NoEvidence,4/3/2025
ZFPM2,HGNC:16700,8:106330666-106816767,8:105318438-105804539,LittleEvidence,NoEvidence,9/20/2021
ZNF292,HGNC:18410,6:87865283-87975661,6:87155565-87265943,LittleEvidence,NoEvidence,10/25/2023
ZNF41,HGNC:13107,X:47304577-47342621,X:47445178-47483222,LittleEvidence,NoEvidence,10/24/2012
ZNF711,HGNC:13128,X:84498997-84528363,X:85243991-85273357,LittleEvidence,NoEvidence,5/14/2024
ZWILCH,HGNC:25468,15:66797664-66842468,15:66505326-66550130,LittleEvidence,NoEvidence,4/24/2019
AARS1,HGNC:20,16:70286201-70323409,16:70252298-70289506,NoEvidence,NoEvidence,1/11/2018
ABR,HGNC:81,17:906759-1133016,17:1003519-1229722,NoEvidence,NoEvidence,9/5/2012
ABRAXAS1,HGNC:25829,4:84380670-84406253,4:83459517-83485100,NoEvidence,NoEvidence,7/18/2023
ACD,HGNC:25070,16:67691415-67694163,16:67657512-67660260,NoEvidence,NoEvidence,4/24/2025
ACTB,HGNC:132,7:5566779-5570232,7:5527148-5530601,NoEvidence,NoEvidence,2/8/2022
AGAP2,HGNC:16921,12:58117544-58135944,12:57723761-57742161,NoEvidence,NoEvidence,2/26/2025
AGO4,HGNC:18424,1:36273237-36323491,1:35807636-35857890,NoEvidence,NoEvidence,10/8/2024
AGTR2,HGNC:338,X:115301997-115306227,X:116170744-116174974,NoEvidence,NoEvidence,5/10/2012
AIFM1,HGNC:8768,X:129263337-129299815,X:130129362-130165841,NoEvidence,NoEvidence,4/23/2025
AKT1,HGNC:391,14:105235686-105262085,14:104769349-104795748,NoEvidence,NoEvidence,1/25/2022
AKT2,HGNC:392,19:40736224-40791252,19:40230317-40285345,NoEvidence,NoEvidence,5/7/2015
ALK,HGNC:427,2:29415640-30144452,2:29192774-29921586,NoEvidence,NoEvidence,6/23/2025
ANKH,HGNC:15492,5:14704909-14871887,5:14704800-14871778,NoEvidence,NoEvidence,2/23/2022
ANKRD26,HGNC:29186,10:27293045-27389423,10:26947582-27100494,NoEvidence,NoEvidence,10/10/2023
APP,HGNC:620,21:27252861-27543446,21:25880550-26171128,NoEvidence,LittleEvidence,10/27/2025
ARHGAP11B,HGNC:15782,15:30918331-30941432,15:30626128-30649229,NoEvidence,NoEvidence,3/28/2023
ARHGAP31,HGNC:29216,3:119013230-119139561,3:119294383-119420714,NoEvidence,NoEvidence,6/13/2023
ARHGEF4,HGNC:684,2:131594487-131804826,2:130836914-131047253,NoEvidence,NoEvidence,4/5/2018
ARHGEF6,HGNC:685,X:135747709-135863091,X:136665550-136780932,NoEvidence,NoEvidence,4/25/2012
ARSD,HGNC:717,X:2822013-2847380,X:2903972-2929339,NoEvidence,NoEvidence,7/21/2016
ASXL2,HGNC:23805,2:25956622-26101356,2:25733753-25878487,NoEvidence,NoEvidence,6/28/2018
ATP10A,HGNC:13542,15:25923859-26108349,15:25672237-25865088,NoEvidence,NoEvidence,4/25/2012
ATP2C2,HGNC:29103,16:84402144-84497793,16:84368538-84464187,NoEvidence,NoEvidence,9/17/2018
ATP6AP2,HGNC:18305,X:40440222-40466100,X:40580970-40606848,NoEvidence,NoEvidence,10/31/2012
ATP6V1E1,HGNC:857,22:18074902-18111588,22:17592136-17628822,NoEvidence,NoEvidence,4/26/2012
BCL2L11,HGNC:994,2:111878491-111926022,2:111120914-111168445,NoEvidence,NoEvidence,6/21/2018
BCR,HGNC:1014,22:23522696-23660224,22:23180509-23318037,NoEvidence,NoEvidence,7/10/2012
BPY2,HGNC:13508,Y:25130410-25151612,Y:22984263-23005465,NoEvidence,NoEvidence,8/22/2012
BRAF,HGNC:1097,7:140413128-140624729,7:140713328-140924929,NoEvidence,NoEvidence,9/24/2025
CACNA1S,HGNC:1397,1:201008640-201081554,1:201039512-201112426,NoEvidence,NoEvidence,1/18/2016
CADPS2,HGNC:16018,7:121958465-122526514,7:122318411-122886460,NoEvidence,NoEvidence,7/10/2012
CALM1,HGNC:1442,14:90862846-90874612,14:90396502-90408268,NoEvidence,NoEvidence,12/12/2023
CALM2,HGNC:1445,2:47387221-47404075,2:47160082-47176936,NoEvidence,NoEvidence,7/9/2024
CALM3,HGNC:1449,19:47104331-47114039,19:46601074-46610782,NoEvidence,NoEvidence,7/9/2024
CARD14,HGNC:16446,17:78143829-78183130,17:80170030-80209331,NoEvidence,NoEvidence,8/1/2013
CASR,HGNC:1514,3:121902515-122010476,3:122183668-122291629,NoEvidence,NoEvidence,3/2/2012
CBFB,HGNC:1539,16:67063052-67134961,16:67029149-67101058,NoEvidence,NoEvidence,2/22/2012
CBL,HGNC:1541,11:119077049-119178859,11:119206339-119308149,NoEvidence,NoEvidence,2/14/2024
CDH15,HGNC:1754,16:89238156-89261900,16:89171748-89195492,NoEvidence,NoEvidence,8/8/2013
CDK4,HGNC:1773,12:58141510-58146093,12:57747727-57752310,NoEvidence,NoEvidence,9/2/2020
CDY1,HGNC:1809,Y:27768264-27771049,Y:25622115-25625511,NoEvidence,NoEvidence,8/22/2012
CEBPA,HGNC:1833,19:33790840-33793470,19:33299934-33302534,NoEvidence,NoEvidence,6/9/2022
CENPP,HGNC:32933,9:95087750-95382811,9:92325468-92620529,NoEvidence,NoEvidence,9/19/2012
CERT1,HGNC:2205,5:74664311-74807806,5:75368486-75511981,NoEvidence,NoEvidence,1/25/2023
CFC1,HGNC:18292,2:131349738-131357148,2:130592165-130599575,NoEvidence,NoEvidence,9/22/2021
CHD1L,HGNC:1916,1:146644326-146767443,1:147172747-147295762,NoEvidence,NoEvidence,8/30/2018
CHEK1,HGNC:1925,11:125495031-125546150,11:125625136-125681124,NoEvidence,NoEvidence,11/10/2021
CHL1,HGNC:1939,3:238446-451100,3:196763-409417,NoEvidence,NoEvidence,12/12/2023
CHMP7,HGNC:28439,8:23101150-23119512,8:23243637-23261999,NoEvidence,NoEvidence,9/27/2022
CHRM3,HGNC:1952,1:239549868-240078750,1:239386568-239915450,NoEvidence,NoEvidence,11/16/2023
CHRNA4,HGNC:1958,20:61974575-61992701,20:63343223-63361349,NoEvidence,NoEvidence,12/22/2025
CHRNA7,HGNC:1960,15:32322686-32465219,15:32030483-32173018,NoEvidence,NoEvidence,5/10/2018
CITED2,HGNC:1987,6:139692944-139695785,6:139371807-139374648,NoEvidence,NoEvidence,11/29/2023
CLASP1,HGNC:17088,2:122095352-122407038,2:121337776-121649462,NoEvidence,NoEvidence,12/13/2022
CLNK,HGNC:17438,4:10488019-10686392,4:10486395-10734846,NoEvidence,NoEvidence,6/2/2016
CNOT3,HGNC:7879,19:54641478-54659419,19:54137762-54155681,NoEvidence,NoEvidence,6/27/2018
CNTN4,HGNC:2174,3:2140550-3099643,3:2098866-3057959,NoEvidence,NoEvidence,6/14/2022
CNTN6,HGNC:2176,3:1134708-1445901,3:1093024-1404217,NoEvidence,NoEvidence,9/28/2022
COL1A2,HGNC:2198,7:94024207-94060539,7:94394895-94431227,NoEvidence,NoEvidence,10/12/2012
COL5A2,HGNC:2210,2:189896624-190044487,2:189031898-189441111,NoEvidence,NoEvidence,1/13/2026
COL9A1,HGNC:2217,6:70924764-71012787,6:70215061-70303084,NoEvidence,NoEvidence,11/6/2013
COL9A2,HGNC:2218,1:40766161-40782958,1:40300489-40317286,NoEvidence,NoEvidence,10/9/2013
CPA4,HGNC:15740,7:129933001-129964020,7:130293161-130324180,NoEvidence,NoEvidence,7/25/2012
CPA6,HGNC:17245,8:68334273-68658595,8:67422038-67746360,NoEvidence,NoEvidence,9/4/2019
CRHR1,HGNC:2357,17:43861686-43913194,17:45784320-45835828,NoEvidence,NoEvidence,7/6/2012
CRYBA1,HGNC:2394,17:27573877-27581512,17:29246859-29254494,NoEvidence,NoEvidence,6/6/2013
CRYBB2,HGNC:2398,22:25615606-25627836,22:25211661-25231869,NoEvidence,NoEvidence,1/10/2023
CRYGC,HGNC:2410,2:208992861-208994552,2:208128137-208129828,NoEvidence,NoEvidence,5/22/2013
CTNNA3,HGNC:2511,10:67672281-69455953,10:65912523-67763594,NoEvidence,NoEvidence,10/24/2018
CTSB,HGNC:2527,8:11700033-11725596,8:11842524-11868087,NoEvidence,NoEvidence,2/8/2012
DAZ1,HGNC:2682,Y:25275502-25345241,Y:23129355-23199094,NoEvidence,NoEvidence,10/17/2012
DHX57,HGNC:20086,2:39024871-39103075,2:38797729-38875934,NoEvidence,NoEvidence,6/28/2018
DIRAS3,HGNC:687,1:68511569-68517314,1:68045962-68050627,NoEvidence,NoEvidence,10/19/2011
DISC1,HGNC:2888,1:231762536-232177018,1:231626790-232041272,NoEvidence,NoEvidence,3/6/2012
DISP1,HGNC:19711,1:222988381-223179337,1:222815039-223005995,NoEvidence,NoEvidence,7/6/2012
DLGAP2,HGNC:2906,8:687628-1656642,8:737628-1708476,NoEvidence,NoEvidence,3/22/2012
DLK1,HGNC:2907,14:101193229-101204561,14:100726892-100738224,NoEvidence,NoEvidence,4/28/2012
DLX1,HGNC:2914,2:172950235-172954402,2:172085507-172089674,NoEvidence,NoEvidence,3/30/2012
DLX2,HGNC:2915,2:172964166-172967628,2:172099438-172102900,NoEvidence,NoEvidence,1/19/2012
DLX5,HGNC:2918,7:96649708-96654143,7:97020396-97024831,NoEvidence,NoEvidence,5/14/2012
DLX6,HGNC:2919,7:96634865-96640352,7:97005553-97011040,NoEvidence,NoEvidence,5/14/2012
DMRT2,HGNC:2935,9:1050357-1057552,9:1050357-1057552,NoEvidence,NoEvidence,8/22/2012
DMXL2,HGNC:2938,15:51739988-51914968,15:51447791-51622771,NoEvidence,NoEvidence,4/4/2012
DNAJB6,HGNC:14888,7:157129698-157210133,7:157337004-157417439,NoEvidence,NoEvidence,10/29/2012
DNASE1,HGNC:2956,16:3661761-3715462,16:3611760-3665461,NoEvidence,NoEvidence,2/22/2012
DRD5,HGNC:3026,4:9783258-9785633,4:9781634-9784009,NoEvidence,NoEvidence,5/15/2012
DSPP,HGNC:3054,4:88529681-88538025,4:87608529-87616873,NoEvidence,NoEvidence,3/27/2013
DYNC1H1,HGNC:2961,14:102430910-102522780,14:101964573-102056443,NoEvidence,NoEvidence,11/14/2023
EEF1A2,HGNC:3192,20:62119367-62130436,20:63488014-63499083,NoEvidence,NoEvidence,6/13/2023
EGFR,HGNC:3236,7:55086710-55279321,7:55019017-55211628,NoEvidence,NoEvidence,5/11/2022
EGR2,HGNC:3239,10:64571756-64578927,10:62811996-62819167,NoEvidence,NoEvidence,11/28/2011
ELK1,HGNC:3321,X:47494919-47510003,X:47635520-47650604,NoEvidence,NoEvidence,9/26/2012
ELOA3P,HGNC:24617,18:44554573-44556449,,NoEvidence,NoEvidence,2/22/2012
EN2,HGNC:3343,7:155250824-155257526,7:155458129-155464831,NoEvidence,NoEvidence,8/26/2012
EVX2,HGNC:3507,2:176944835-176948690,2:176077472-176083962,NoEvidence,NoEvidence,4/4/2012
FBN2,HGNC:3604,5:127593601-127873938,5:128257909-128538245,NoEvidence,NoEvidence,2/28/2024
FBXW11,HGNC:13607,5:171288553-171433642,5:171861549-172006638,NoEvidence,LittleEvidence,12/7/2011
FBXW4,HGNC:10847,10:103370423-103455052,10:101610666-101695295,NoEvidence,NoEvidence,10/8/2014
FGF12,HGNC:3668,3:191857179-192445330,3:192139390-192727541,NoEvidence,LittleEvidence,12/1/2021
FGFR3,HGNC:3690,4:1795020-1810594,4:1793293-1808867,NoEvidence,NoEvidence,11/9/2011
FGFRL1,HGNC:3693,4:1005414-1020686,4:1010212-1026898,NoEvidence,NoEvidence,8/1/2013
FHIT,HGNC:3701,3:59733003-61237126,3:59747277-61251452,NoEvidence,NoEvidence,10/24/2018
FLNB,HGNC:3755,3:57994149-58157978,3:58008422-58172251,NoEvidence,NoEvidence,7/25/2013
FOSL2,HGNC:3798,2:28615725-28640184,2:28392858-28417317,NoEvidence,NoEvidence,12/10/2024
FOXE3,HGNC:3808,1:47881957-47883724,1:47416285-47418052,NoEvidence,NoEvidence,12/13/2017
FREM1,HGNC:23399,9:14737150-14910993,9:14737152-14910995,NoEvidence,NoEvidence,6/6/2013
FTL,HGNC:3999,19:49468566-49470136,19:48965309-48966879,NoEvidence,NoEvidence,8/22/2013
GABRB3,HGNC:4083,15:26788699-27018910,15:26543552-26773763,NoEvidence,NoEvidence,4/25/2012
GALR1,HGNC:4132,18:74961804-74989856,18:77249848-77277900,NoEvidence,NoEvidence,7/6/2012
GATA1,HGNC:4170,X:48644998-48652718,X:48786590-48794311,NoEvidence,NoEvidence,10/14/2020
GDF2,HGNC:4217,10:48411774-48416908,10:47322454-47327588,NoEvidence,NoEvidence,10/13/2016
GFI1,HGNC:4237,1:92938600-92952482,1:92473043-92486925,NoEvidence,NoEvidence,7/22/2024
GFI1B,HGNC:4238,9:135820918-135867074,9:132945531-132993434,NoEvidence,NoEvidence,8/27/2025
GJA1,HGNC:4274,6:121756792-121770873,6:121435646-121449727,NoEvidence,NoEvidence,11/20/2013
GJA8,HGNC:4281,1:147374921-147381396,1:147902795-147914486,NoEvidence,NoEvidence,4/8/2025
GJB6,HGNC:4288,13:20796101-20806458,13:20221962-20232319,NoEvidence,NoEvidence,1/30/2014
GNAI1,HGNC:4384,7:79764147-79855497,7:80134831-80226181,NoEvidence,NoEvidence,3/28/2023
GNAI3,HGNC:4387,1:110091237-110142817,1:109548615-109600195,NoEvidence,NoEvidence,7/18/2013
GNB4,HGNC:20731,3:179113876-179169258,3:179396088-179527798,NoEvidence,NoEvidence,1/13/2026
GOLGA2P2Y,HGNC:16479,Y:26356114-26360978,,NoEvidence,NoEvidence,8/22/2012
GPC5,HGNC:4453,13:92050875-93519490,13:91398621-92867237,NoEvidence,NoEvidence,3/9/2012
GPR148,HGNC:23623,2:131486643-131487909,2:130729070-130730336,NoEvidence,NoEvidence,4/5/2018
GRB10,HGNC:4564,7:50657765-50861150,7:50590068-50793453,NoEvidence,NoEvidence,3/23/2012
GREM1,HGNC:2001,15:33010205-33037307,15:32718004-32745106,NoEvidence,NoEvidence,8/20/2020
GRID1,HGNC:4575,10:87359309-88126552,10:85599552-86366795,NoEvidence,NoEvidence,12/21/2011
GSDMD,HGNC:25697,8:144635557-144645232,8:143553387-143563062,NoEvidence,NoEvidence,3/27/2024
GTF2I,HGNC:4659,7:74072044-74175022,7:74657718-74760692,NoEvidence,NoEvidence,8/8/2012
GTF2IRD1,HGNC:4661,7:73868236-74016931,7:74453906-74602605,NoEvidence,NoEvidence,10/10/2012
GTF2IRD2,HGNC:30775,7:74210490-74267901,7:74796151-74851605,NoEvidence,NoEvidence,12/4/2013
GUCY2C,HGNC:4688,12:14765566-14849533,12:14612632-14696599,NoEvidence,NoEvidence,9/18/2013
H1-4,HGNC:4718,6:26156557-26157343,6:26156329-26157115,NoEvidence,NoEvidence,7/27/2022
H19,HGNC:4713,11:2016406-2022696,11:1995176-2001466,NoEvidence,NoEvidence,3/22/2012
HIRA,HGNC:4916,22:19318221-19419256,22:19330698-19431733,NoEvidence,NoEvidence,8/28/2012
HNRNPDL,HGNC:5037,4:83343717-83351615,4:82422564-82430462,NoEvidence,NoEvidence,4/8/2025
HOXD9,HGNC:5140,2:176987447-176989665,2:176122719-176124937,NoEvidence,NoEvidence,2/22/2012
HRAS,HGNC:5173,11:532242-535576,11:532242-535576,NoEvidence,NoEvidence,7/15/2024
HSD17B10,HGNC:4800,X:53458206-53461323,X:53431258-53434376,NoEvidence,NoEvidence,9/6/2012
HSPB8,HGNC:30171,12:119616736-119632551,12:119178931-119194746,NoEvidence,NoEvidence,11/18/2025
HUWE1,HGNC:30892,X:53559057-53713664,X:53532096-53686719,NoEvidence,NoEvidence,9/26/2018
HYMAI,HGNC:5326,6:144326053-144329867,6:144004916-144008259,NoEvidence,NoEvidence,9/6/2012
IGF2,HGNC:5466,11:2150342-2170833,11:2129117-2149566,NoEvidence,NoEvidence,3/22/2012
IGF2R,HGNC:5467,6:160390114-160532536,6:159969082-160111504,NoEvidence,NoEvidence,6/7/2012
IMPA1,HGNC:6050,8:82569149-82598560,8:81656914-81686325,NoEvidence,NoEvidence,2/8/2012
INF2,HGNC:23791,14:105155955-105188872,14:104689618-104722535,NoEvidence,NoEvidence,12/11/2025
INS,HGNC:6081,11:2181009-2182439,11:2159779-2161209,NoEvidence,NoEvidence,3/22/2012
ITGB3,HGNC:6156,17:45331193-45391109,17:47253827-47313743,NoEvidence,NoEvidence,8/27/2012
KANK1,HGNC:19309,9:470295-746103,9:470295-746103,NoEvidence,NoEvidence,4/28/2016
KCNH1,HGNC:6250,1:210851656-211307490,1:210678314-211134148,NoEvidence,NoEvidence,6/28/2023
KCNJ6,HGNC:6267,21:38979675-39288760,21:37607373-37916457,NoEvidence,NoEvidence,12/11/2024
KCNK9,HGNC:6283,8:140613081-140715366,8:139600838-139703123,NoEvidence,NoEvidence,2/29/2012
KIF1A,HGNC:888,2:241653184-241760820,2:240713767-240821403,NoEvidence,NoEvidence,8/8/2013
KLF14,HGNC:23025,7:130415525-130418967,7:130730697-130734207,NoEvidence,NoEvidence,4/28/2012
KLF8,HGNC:6351,X:55934556-56317964,X:55908123-56291531,NoEvidence,NoEvidence,10/12/2012
KRAS,HGNC:6407,12:25358180-25403863,12:25205246-25250929,NoEvidence,NoEvidence,10/8/2015
L3MBTL1,HGNC:15905,20:42136337-42179594,20:43507697-43550954,NoEvidence,NoEvidence,8/29/2012
LBX1,HGNC:16960,10:102986751-102989220,10:101226994-101229463,NoEvidence,NoEvidence,8/21/2014
LETM1,HGNC:6556,4:1813206-1857883,4:1811479-1856156,NoEvidence,NoEvidence,2/3/2012
LIMK1,HGNC:6613,7:73498134-73536855,7:74083804-74122525,NoEvidence,NoEvidence,8/22/2012
LITAF,HGNC:16841,16:11641578-11681322,16:11547722-11640317,NoEvidence,NoEvidence,10/21/2016
LMNB1,HGNC:6637,5:126112315-126172712,5:126776623-126837020,NoEvidence,SufficientEvidence,10/25/2023
LSS,HGNC:6708,21:47608360-47648688,21:46188446-46228774,NoEvidence,NoEvidence,9/6/2012
MAD2L2,HGNC:6764,1:11734537-11751616,1:11674480-11691830,NoEvidence,NoEvidence,10/20/2023
MAFB,HGNC:6408,20:39314488-39317876,20:40685848-40689236,NoEvidence,NoEvidence,5/21/2015
MAP2K1,HGNC:6840,15:66679250-66783882,15:66386912-66491544,NoEvidence,NoEvidence,10/13/2015
MAP3K1,HGNC:6848,5:56111376-56191979,5:56815549-56896152,NoEvidence,NoEvidence,8/22/2013
MAPT,HGNC:6893,17:43971920-44105700,17:45894554-46028334,NoEvidence,NoEvidence,5/8/2012
MATN3,HGNC:6909,2:20191813-20212429,2:19992052-20012668,NoEvidence,NoEvidence,3/12/2014
MED12,HGNC:11957,X:70338446-70362300,X:71118596-71142450,NoEvidence,NoEvidence,8/22/2018
MEFV,HGNC:6998,16:3292027-3306633,16:3242027-3256633,NoEvidence,NoEvidence,8/16/2018
MEST,HGNC:7028,7:130126016-130146306,7:130486175-130506465,NoEvidence,NoEvidence,4/4/2012
MET,HGNC:7029,7:116312250-116438431,7:116672196-116798377,NoEvidence,NoEvidence,9/6/2012
MFHAS1,HGNC:16982,8:8640864-8751140,8:8783354-8893630,NoEvidence,NoEvidence,2/8/2012
MFN2,HGNC:16877,1:12040501-12073565,1:11980444-12013508,NoEvidence,NoEvidence,2/2/2017
MID2,HGNC:7096,X:107068965-107174867,X:107825735-107931637,NoEvidence,NoEvidence,7/25/2012
MKRN3,HGNC:7114,15:23810821-23813191,15:23565674-23568044,NoEvidence,NoEvidence,4/25/2012
MOV10,HGNC:7200,1:113216934-113243368,1:112674439-112700739,NoEvidence,NoEvidence,3/12/2019
